il;2583;det
e;1761;con
di;1279;pre
essere;1145;ver_sup
avere;692;ver_sup
un;657;det
per;583;pre
del;572;pre
a;564;pre
al;548;pre
con;547;pre
non;510;adv_sup
che;477;pro
una;412;det
da;410;pre
in;405;pre
molto;366;adv_sup
ma;334;con
ottimo;316;adj
essere|sonare;306;ver_sup
locale;304;adj
buono;290;adj
ci;280;pro
anche;269;adv_sup
si;260;pro
l;251;sw
nel;232;pre
fare;228;ver
tutto;223;adv_sup
prezzo;213;nom
qualità;189;nom
servizio;165;nom
pizza;165;nom
piatto;165;nom
più;164;adv_sup
mangiare;156;ver
primo;146;adj
personale;145;adj
se;144;con
questo;139;pro
romano;133;adj
essere|stare;131;ver_sup
dal;131;pre
potere;124;ver_sup
mio;120;pro
mi;119;pro
provare;115;ver
cibo;115;nom
ed;110;con
sempre;106;adv_sup
ristorante;104;nom
come;103;pre
tornare;102;ver
trovare;100;ver
prendere;99;ver
gentile;99;adj
roma;96;nr
o;96;con
consiglio;95;nom
andare;92;ver_sup
due;91;adj_sup
cena;91;nom
cucina;89;nom
testaccio;88;nr
vino;87;nom
dire;86;ver
davvero;86;adv_sup
tavolo;84;nom
scelta;82;nom
altro;82;adj_sup
dolce;80;adj
porre;78;ver
poco;77;adv_sup
un_po;76;sw
ad;76;pre
quello;74;pro
amico;74;nom
consigliare;72;ver
volta;71;nom_sup
sul;70;pre
buonissimo;70;adj
solo;69;adj
in_questo;69;sw
all;67;sw
venire;64;ver
pranzo;64;nom
dopo;64;pre
antipasto;64;nom
cosa;63;nom_sup
dovere;62;ver_sup
accogliente;62;adj
veramente;61;adv_sup
sicuramente;61;adv
perché;61;con
c;61;nom_sup
gusto;60;nom
dove;60;pro
bene;59;adv_sup
grande;58;adj
volere;57;ver
veloce;57;adj
senza;57;pre
bello;56;adj
panino;55;nom
carino;55;adj
cameriere;55;nom
zona;54;nom
piccolo;54;adj
servire;53;ver
ordinare;53;ver
ben;53;adv_sup
arrivare;53;ver
simpatico;52;adj
mai;52;adv_sup
casa;52;nom
qui;51;adv_sup
pepe;51;nom
disponibile;51;adj
carciofo;51;nom
anno;51;nom
tanto;50;pro
serata;50;nom
sapore;50;nom
euro;50;adj
ambiente;50;nom
uno;49;det
tipico;49;adj
tra;48;pre
menù;48;nom
fresco;48;adj
così;48;adv_sup
cacio;48;nom
sera;46;nom
secondo;46;adj
qualche;46;adj_sup
pasta;46;nom
carbonaro;46;adj
io;45;pro
carne;45;nom
loro;44;pro
proprietario;43;adj
eccellente;43;adj
cliente;43;nom
buon;43;adj_sup
atmosfera;43;nom
musico;42;adj
ingrediente;42;nom
gelato;42;nom
assolutamente;42;adv_sup
unico;41;adj
tradizione;41;nom
tempo;41;nom
friggere;41;ver
via;40;nom
ti;40;pro
suo;40;pro
rimanere;40;ver
proprio;40;adj
portare;40;ver
ogni;40;adj_sup
ne;40;adv_sup
menu;40;nom
medio;40;adj
soprattutto;39;adv_sup
pagare;38;ver
troppo;37;adv_sup
pieno;37;adj
giusto;37;adj
conto;37;nom
chiedere;37;ver
caldo;37;adj
sushi;36;nr
prodotto;36;nom
piacevole;36;adj
migliore;36;adj
diverso;36;adj
ampio;36;adj
altri|altro;36;pro
stato;35;nom_sup
sentire;35;ver
preparare;35;ver
pesce;35;nom
nostro;35;pro
assaggiare;35;ver
trattoria;34;nom
rapporto;34;nom
quando;34;con
cordiale;34;adj
vedere;33;ver
torta;33;nom
tipo;33;nom_sup
su;33;pre
sapere;33;ver_sup
piacere;33;ver
ora;33;nom_sup
offrire;33;ver
mercato;33;nom
dell;33;sw
alto;33;adj
supplì;32;nom
stare;32;ver_sup
scegliere;32;ver
ragazzo;32;nom
parte;32;nom_sup
birra;32;nom
spesso;31;adv_sup
persona;31;nom
giorno;31;nom
cortese;31;adj
location;30;nr
gustoso;30;adj
dare;30;ver_sup
chi;30;pro
caffè;30;nom
aperitivo;30;nom
sembrare;29;ver_sup
meglio;29;adv_sup
forse;29;adv_sup
d;29;abr
attento;29;adj
alcuno;29;pro
perdere;28;ver
mettere;28;ver
mala|male;28;nom_sup
lasciare;28;ver
comunque;28;adv_sup
cenare;28;ver
ancora;28;adv_sup
2;28;num
un_posto;27;nr
sedere;27;ver
porzione;27;nom
pizzeria;27;nom
pasticceria;27;nom
noi;27;pro
già;27;adv_sup
abbondante;27;adj
varietà;26;nom
prenotare;26;ver
poi;26;adv_sup
fuori;26;adv_sup
fritto;26;adj
classico;26;adj
3;26;num
vi;25;adv_sup
vario;25;pro
riuscire;25;ver
quasi;25;adv_sup
polpetta;25;nom
pessimo;25;adj
pane;25;nom
interno;25;adj
fantastico;25;adj
esperienza;25;nom
eccezionale;25;adj
conoscere;25;ver
soddisfare;24;ver
nulla;24;adv_sup
me;24;pro
grazia;24;nom
5;24;num
vero;23;adj
peccato;23;nom
patata;23;nom
passare;23;ver
nuovo;23;adj
entrare;23;ver
delizioso;23;adj
complimento;23;nom
cioccolato;23;nom
super;22;adj
stesso;22;adj_sup
squisito;22;adj
sabato;22;nom
ritornare;22;ver
quello_che;22;sw
però;22;adv_sup
oggi;22;adv
leggero;22;adj
freddo;22;adj
fine;22;nom_sup
discreto;22;adj
curare;22;ver
condire;22;ver
attesa;22;nom
amatriciana;22;nr
abbastanza;22;adv_sup
vicino;21;adj
valere;21;ver
tagliare;21;ver
subito;21;adv_sup
semplice;21;adj
quartiere;21;nom
quanto;21;adv_sup
quantità;21;nom
pollo;21;nom
formaggio;21;nom
caso;21;nom_sup
carta;21;nom
vista;20;nom
particolare;20;adj
niente;20;adv_sup
lungo;20;adj
gentilezza;20;nom
forno;20;nom
di_una;20;sw
decidere;20;ver
cucinare;20;ver
bar;20;nom
